"state","county","total_population_20","incarcerated_20","total_population_10","incarcerated_10","total_population_00","incarcerated_00","FIPS"
"AR","Boone County","37373","93","36903","72","33948","37","5009"
"AR","Bradley County","10545","0","11508","53","12600","18","5011"
"AR","Calhoun County","4739","19","5368","27","5744","24","5013"
"AR","Carroll County","28260","48","27446","95","25357","31","5015"
"AR","Chicot County","10208","632","11800","578","14117","535","5017"
"AR","Clark County","21446","28","22995","43","23546","51","5019"
"AR","Clay County","14552","25","16083","71","17609","28","5021"
"AR","Cleburne County","24711","19","25970","80","24046","26","5023"
"AR","Cleveland County","7550","0","8689","0","8571","3","5025"
"AR","Columbia County","22801","81","24552","54","25603","36","5027"
"AR","Conway County","20715","26","21273","1","20336","52","5029"
"AR","Craighead County","111231","209","96443","438","82148","228","5031"
"AR","Crawford County","60133","152","61948","117","53247","79","5033"
"AR","Crittenden County","48163","105","50902","299","50866","251","5035"
"AR","Cross County","16833","27","17870","54","19526","59","5037"
"AR","Dallas County","6482","85","8116","139","9210","136","5039"
"AR","Desha County","11395","0","13008","0","15341","0","5041"
"AR","Drew County","17350","26","18509","36","18723","68","5043"
"AR","Faulkner County","123498","72","113237","735","86014","143","5045"
"AR","Franklin County","17097","16","18125","0","17771","0","5047"
"AR","Fulton County","12075","3","12245","7","11642","10","5049"
"AR","Garland County","100180","241","96024","249","88068","318","5051"
"AR","Grant County","17958","76","17853","63","16464","69","5053"
"AR","Greene County","45736","245","42090","132","37331","90","5055"
"AR","Hempstead County","20065","47","22609","51","23587","49","5057"
"AR","Hot Spring County","33040","2168","32923","1092","30353","10","5059"
"AR","Howard County","12785","5","13789","0","14300","49","5061"
"AR","Independence County","37938","69","36647","91","34233","119","5063"
"AR","Izard County","13577","827","13696","602","13249","561","5065"
"AR","Jackson County","16755","2142","17997","1829","18418","1369","5067"
"AR","Jefferson County","67260","4001","77435","3449","84278","3302","5069"
"AR","Johnson County","25749","41","25540","57","22781","36","5071"
"AR","Lafayette County","6308","14","7645","29","8559","33","5073"
"AR","Lawrence County","16216","0","17415","32","17774","30","5075"
"AR","Lee County","8600","1556","10424","1686","12580","1651","5077"
"AR","Lincoln County","12941","3600","14134","3306","14492","3017","5079"
"AR","Little River County","12026","20","13171","0","13628","14","5081"
"AR","Logan County","21131","24","22353","27","22486","18","5083"
"AR","Lonoke County","74015","203","68356","64","52828","72","5085"
"AR","Madison County","16521","0","15717","0","14243","0","5087"
"AR","Marion County","16826","22","16653","16","16140","7","5089"
"AR","Miller County","42600","888","43462","889","40443","593","5091"
"AR","Mississippi County","40685","519","46480","475","51979","437","5093"
"AR","Monroe County","6799","14","8149","22","10254","26","5095"
"AR","Montgomery County","8484","10","9487","8","9245","4","5097"
"AR","Nevada County","8310","38","8997","13","9955","19","5099"
"AR","Newton County","7225","4","8330","0","8608","4","5101"
"AR","Ouachita County","22650","135","26120","50","28790","29","5103"
"AR","Perry County","10019","8","10445","0","10209","18","5105"
"AR","Phillips County","16568","27","21757","65","26445","69","5107"
"AR","Pike County","10171","55","11291","56","11303","12","5109"
"AR","Poinsett County","22965","20","24583","87","25614","143","5111"
"AR","Polk County","19221","11","20662","21","20229","18","5113"
"AR","Pope County","63381","145","61754","171","54469","69","5115"
"AR","Prairie County","8282","44","8715","16","9539","16","5117"
"AR","Pulaski County","399125","2598","382748","2254","361474","2101","5119"
"AR","Randolph County","18571","48","17969","32","18195","13","5121"
"AR","St. Francis County","23090","3232","28258","3905","29329","2426","5123"
"AR","Saline County","123416","486","107118","421","83529","241","5125"
"AR","Scott County","9836","33","11233","0","10996","5","5127"
"AR","Searcy County","7828","14","8195","11","8261","6","5129"
"AR","Sebastian County","127799","256","125744","417","115071","571","5131"
"AR","Sevier County","15839","56","17058","29","15757","7","5133"
"AR","Sharp County","17271","21","17264","25","17119","7","5135"
"AR","Stone County","12359","30","12394","24","11499","30","5137"
"AR","Union County","39054","156","41639","186","45629","117","5139"
"AR","Van Buren County","15796","20","17295","50","16192","30","5141"
"AR","Washington County","245871","653","203065","665","157715","335","5143"
"AR","White County","76822","0","77076","0","67165","146","5145"
"AR","Woodruff County","6269","22","7260","8","8741","12","5147"
"AR","Yell County","20263","0","22185","13","21139","32","5149"
"OK","Adair County","19495","34","22683","25","21038","27","40001"
"OK","Alfalfa County","5699","1152","5642","1014","6105","985","40003"
"OK","Atoka County","14143","1529","14182","704","13879","1433","40005"
"OK","Beaver County","5049","9","5636","12","5857","45","40007"
"OK","Beckham County","22410","2223","22119","1740","19799","1608","40009"
"OK","Blaine County","8735","5","11943","2083","11976","1352","40011"
"OK","Bryan County","46067","77","42416","94","36534","72","40013"
"OK","Caddo County","26945","3410","29600","1775","30150","774","40015"
"OK","Canadian County","154405","1518","115541","1765","87697","1759","40017"
"OK","Carter County","48003","24","47557","308","45621","262","40019"
"OK","Cherokee County","47078","90","46987","95","42521","40","40021"
"OK","Choctaw County","14204","25","15205","44","15342","43","40023"
"OK","Cimarron County","2296","8","2475","4","3148","9","40025"
"OK","Cleveland County","295528","2605","255755","3164","208016","2621","40027"
"OK","Coal County","5266","0","5925","0","6031","13","40029"
"OK","Comanche County","121125","3008","124098","3164","114996","2141","40031"
"OK","Cotton County","5527","0","6193","0","6614","103","40033"
"OK","Craig County","14107","486","15029","606","14950","444","40035"
"OK","Creek County","71754","188","69967","340","67367","0","40037"
"OK","Custer County","28513","67","27469","128","26142","51","40039"
"OK","Delaware County","40397","44","41487","62","37077","27","40041"
"OK","Dewey County","4484","0","4810","21","4743","14","40043"
"OK","Ellis County","3749","6","4151","5","4075","14","40045"
"OK","Garfield County","62846","250","60580","340","57813","209","40047"
"OK","Garvin County","25656","11","27576","167","27210","62","40049"
"OK","Grady County","54795","681","52431","590","45516","109","40051"
"OK","Grant County","4169","18","4527","16","5144","3","40053"
"OK","Greer County","5491","832","6239","1075","6061","913","40055"
"OK","Harmon County","2488","9","2922","57","3283","5","40057"
"OK","Harper County","3272","6","3685","4","3562","2","40059"
"OK","Haskell County","11561","0","12769","0","11792","19","40061"
"OK","Hughes County","13367","1579","14003","1361","14154","1000","40063"
"OK","Jackson County","24785","27","26446","200","28439","121","40065"
"OK","Jefferson County","5337","27","6472","71","6818","191","40067"
"OK","Johnston County","10272","38","10957","49","10513","32","40069"
"OK","Kay County","43700","336","46562","251","48080","72","40071"
"OK","Kingfisher County","15184","118","15034","35","13926","16","40073"
"OK","Kiowa County","8509","8","9446","100","10227","110","40075"
"OK","Latimer County","9444","22","11154","26","10692","8","40077"
"OK","Le Flore County","48129","1033","50384","873","48109","761","40079"
"OK","Lincoln County","33458","70","34273","105","32080","41","40081"
"OK","Logan County","49555","37","41848","0","33924","0","40083"
"OK","Love County","10146","17","9423","5","8831","17","40085"
"OK","McClain County","41662","71","34506","30","27740","51","40087"
"OK","McCurtain County","30814","74","33151","206","34402","123","40089"
"OK","McIntosh County","18941","69","20252","80","19456","29","40091"
"OK","Major County","7782","5","7527","9","7545","7","40093"
"OK","Marshall County","15312","65","15840","42","13184","82","40095"
"OK","Mayes County","39046","79","41259","128","38369","33","40097"
"OK","Murray County","13904","18","13488","43","12623","38","40099"
"OK","Muskogee County","66339","2161","70990","2086","69451","1829","40101"
"OK","Noble County","10924","22","11561","18","11411","19","40103"
"OK","Nowata County","9320","11","10536","48","10569","51","40105"
"OK","Okfuskee County","11310","842","12191","855","11814","695","40107"
"OK","Oklahoma County","796292","3622","718633","3896","660448","5175","40109"
"OK","Okmulgee County","36706","351","40069","219","39685","93","40111"
"OK","Osage County","45818","1197","47472","1290","44437","1310","40113"
"OK","Ottawa County","30285","12","31848","139","33194","46","40115"
"OK","Pawnee County","15553","48","16577","42","16612","30","40117"
"OK","Payne County","81646","1702","77350","882","68190","980","40119"
"OK","Pittsburg County","43773","1475","45837","1858","43953","2082","40121"
"OK","Pontotoc County","38065","51","37492","85","35143","60","40123"
"OK","Pottawatomie County","72454","1431","69442","1245","65521","901","40125"
"OK","Pushmataha County","10812","53","11572","13","11667","28","40127"
"OK","Roger Mills County","3442","9","3647","11","3436","11","40129"
"OK","Rogers County","95240","216","86905","191","70641","57","40131"
"OK","Seminole County","23556","92","25482","78","24894","50","40133"
"OK","Sequoyah County","39281","64","42391","111","38972","51","40135"
"OK","Stephens County","42848","148","45048","142","43182","75","40137"
"OK","Texas County","21384","12","20640","57","20107","61","40139"
"OK","Tillman County","6968","23","7992","197","9287","128","40141"
"OK","Tulsa County","669279","1177","603403","2188","563299","1215","40143"
"OK","Wagoner County","80981","81","73085","80","57491","37","40145"
"OK","Washington County","52455","130","50976","103","48996","51","40147"
"OK","Washita County","10924","27","11629","31","11508","19","40149"
"OK","Woods County","8624","454","8878","585","9089","431","40151"
"OK","Woodward County","20470","1036","20081","1096","18486","543","40153"
